timestamp,text,hasTrump,highlight
2016-11-09 3:41:34,"Donald Trump has been elected president of the United States, a stunning upset for an outsider who defied the political establishment",TRUE,FALSE
2016-11-09 3:46:04,President-elect Donald Trump is about to give his victory speech. Watch live as he addresses the nation he will soon lead.,TRUE,FALSE
2016-11-09 4:11:26,"Donald Trump said Hillary Clinton congratulated him on his win. ""We owe her a major debt of gratitude,"" he said, calling for national unity.",TRUE,FALSE
2016-11-09 6:24:25,Markets have slumped since Donald Trump's victory. His win raises questions about the world's financial underpinnings.,TRUE,FALSE
2016-11-09 12:34:44,Hillary Clinton will address her supporters in New York shortly. Watch her speech and follow our live coverage.,FALSE,FALSE
2016-11-09 12:47:13,"“Donald Trump is going to be our president,” Hillary Clinton told the nation. “We owe him an open mind and a chance to lead.”",TRUE,FALSE
2016-11-09 13:30:50,"In a live address, President Obama pledged to help Donald Trump in his transition, saying “We are all rooting for his success”",TRUE,FALSE
2016-11-09 19:30:53,"Gov. Maggie Hassan, a Democrat, has unseated Senator Kelly Ayotte in New Hampshire. Republicans hold the Senate majority, 51-48.",FALSE,FALSE
2016-11-10 14:41:45,"President Obama and Donald Trump met at the White House. Mr. Trump called their 90-minute discussion a ""great honor.""",TRUE,FALSE
2016-11-10 22:14:55,"Leonard Cohen, whose musical career spanned nearly 50 years, has died at 82. ""Hallelujah"" may prove his most enduring song.",FALSE,FALSE
2016-11-11 14:49:33,"Vice President-elect Mike Pence is taking over the Trump transition from Chris Christie, whose standing fell in the bridge scandal",TRUE,FALSE
2016-11-12 16:34:53,"Hillary Clinton cast blame for her loss on a decision by James B. Comey, the F.B.I. chief, to revive an email inquiry ahead of the election",TRUE,FALSE
2016-11-13 17:21:24,"Donald Trump is expected to name Reince Priebus as his chief of staff, turning to a Washington insider for the critical role",TRUE,FALSE
2016-11-14 15:38:26,"Gwen Ifill has died at 61. She was a pioneering journalist who anchored PBS ""NewsHour"" and moderated presidential debates.",FALSE,FALSE
2016-11-16 12:48:59,"A police officer in St. Paul, Minn., faces manslaughter charges in the killing of Philando Castile. The aftermath was caught on video.",FALSE,FALSE
2016-11-17 21:51:54,"Donald Trump has offered Lt. Gen. Michael T. Flynn the post of national security adviser, according to a top transition official",TRUE,FALSE
2016-11-18 8:39:43,"Donald Trump has offered Jeff Sessions the post of attorney general. The Alabama senator was a close, early adviser to Mr. Trump.",TRUE,FALSE
2016-11-18 9:54:40,Donald Trump has chosen Mike Pompeo to lead the C.I.A. He was a sharp critic of Hillary Clinton on the Benghazi committee.,TRUE,FALSE
2016-11-18 15:45:37,"The Zika virus is no longer a global emergency, said the World Health Organization, but it emphasized that the crisis is not over",FALSE,FALSE
2016-11-18 17:32:53,Donald Trump has reached a $25 million settlement over accusations that Trump University cheated its students out of money,TRUE,FALSE
2016-11-21 14:29:01,New doping tests on athletes who competed in the 2008 and 2012 Summer Olympics have uncovered scores of violations.,FALSE,FALSE
2016-11-22 10:58:44,"Donald Trump won't pursue investigations of Hillary Clinton when he becomes president, a top aide said",TRUE,FALSE
2016-11-22 14:15:01,Donald Trump is at The New York Times for an on-the-record interview with our journalists. Get live updates.,TRUE,FALSE
2016-11-22 18:07:47,"In a Times interview, Donald Trump retreated from criticism of Hillary Clinton and climate deals. But he defended his business ties.",TRUE,FALSE
2016-11-23 8:27:32,Donald Trump chose Gov. Nikki Haley of South Carolina as ambassador to the United Nations. She was an early critic of his run.,TRUE,FALSE
2016-11-25 2:45:37,"Florence Henderson, who made a lasting impression as the perky 1970s sitcom mom on ""The Brady Bunch,"" has died at 82",FALSE,FALSE
2016-11-26 1:00:49,Fidel Castro has died at 90. The Cuban revolutionary was a nemesis to 11 American presidents.,FALSE,FALSE
2016-11-29 3:12:56,"A plane carrying 81 people, including members of a Brazilian soccer club, crashed in Colombia. There are as many as six survivors.",FALSE,FALSE
2016-11-29 17:30:47,"Donald Trump’s Treasury secretary pick is said to be Steven Mnuchin, a financier with Hollywood ties but no government experience",TRUE,FALSE
2016-11-29 19:35:33,"Donald Trump made an Indiana factory a symbol of his economic plans. Now, he says he has a deal to save over 1,000 jobs there.",TRUE,FALSE
2016-11-30 11:36:17,"The officer in a fatal parking lot shooting in Charlotte, N.C., ""acted lawfully"" and will not be charged, the prosecutor said",FALSE,FALSE
2016-11-30 22:22:21,Colombia's Congress approved a peace agreement with the country's largest rebel group in what was likely the deal's final hurdle,FALSE,FALSE
2016-12-01 14:28:21,President François Hollande will not run for a second term. His approval ratings are among the worst in modern French history.,FALSE,FALSE
2016-12-01 20:21:36,"Donald Trump said his defense secretary pick is James Mattis, an ex-general with a tough stance on Iran and support in Congress",TRUE,FALSE
2016-12-02 12:56:56,"Donald Trump’s supporters filed legal challenges to presidential election recounts in Pennsylvania, Wisconsin and Michigan",TRUE,FALSE
2016-12-02 18:02:17,"Donald Trump spoke with Taiwan’s leader, breaking with decades of diplomatic practice. It could lead to a major rift with China.",TRUE,FALSE
2016-12-04 11:17:23,"The death toll rose to 24 in the Oakland, Calif., warehouse fire. Officials say it could take days to search through the rubble.",FALSE,FALSE
2016-12-04 12:04:29,"Austrians reject far-right candidate in presidential vote, stalling the advance of populist forces in Europe.",FALSE,FALSE
2016-12-04 16:55:25,"In a victory for protesters, the Army Corps of Engineers says it will look for alternative routes for the Dakota Access pipeline",FALSE,FALSE
2016-12-04 18:27:36,"Italians have rejected constitutional changes, dealing a blow to Prime Minister Matteo Renzi and unsettling an already shaky E.U.",FALSE,FALSE
2016-12-05 6:08:24,Prime Minister Shinzo Abe will visit Pearl Harbor. No Japanese leader has ever visited the site of the attack.,FALSE,FALSE
2016-12-05 15:43:55,"A mistrial was declared in the case of a North Charleston, S.C., police officer who shot an unarmed black man in the back in 2015",FALSE,FALSE
2016-12-06 9:25:24,"Saudi Arabia backs Afghanistan’s government, but the kingdom has long turned a blind eye to Saudis who bankroll the Taliban",FALSE,FALSE
